_id;poster;name;weight;price;min_weight_for_order;final_price;dishes;hit;description;dishes_name;sentences;quantity
1;set_dimka;Сет «Дымка»;2100;850;2100;850;STOCK;true;null;Акции;1,2,3;1
2;promotion_1;Акция 1;1;795;1;795;STOCK;true;null;Акции;4,5,6;1
3;promotion_2;Акция 2;1;895;1;895;STOCK;true;null;Акции;null;1
4;pork_shashlik;Шашлык из свинины;100;60;100;60;KEBAB;false;null;Шашлык;null;1
5;lamb_shashlik;Шашлык из баранины;100;95;100;95;KEBAB;false;null;Шашлык;null;1
6;care_of_veal;Каре телятины;100;90;100;95;KEBAB;false;null;Шашлык;null;1
7;bavarian_sausages;Баварские колбаски;100;25;200;50;KEBAB;false;null;Шашлык;null;1
8;veal_shashlik;Шашлык из телятины;100;85;100;85;KEBAB;false;null;Шашлык;null;1
9;chicken_kebab;Шашлык куриный;100;50;100;50;KEBAB;false;null;Шашлык;null;1
10;chalagach;Чалагач;100;55;100;55;KEBAB;false;null;Шашлык;null;1
11;teriyaki_wings;Крылья Терияки;250;95;250;95;KEBAB;false;null;Шашлык;null;1
12;chicken_tobacco;Цыплёнок Табака;1;300;1;300;KEBAB;false;null;Шашлык;null;1
13;roasted_veal_liver;Печень Телячья жареная;100;50;100;50;KEBAB;false;null;Шашлык;null;1
14;beef_tongue;Язык говяжий;100;80;100;80;KEBAB;false;null;Шашлык;null;1
15;ribs_pork_teriyaki;Рёбра Свиные Терияки;250;110;250;110;KEBAB;false;null;Шашлык;null;1
16;quail;Перепел;1;95;1;95;KEBAB;false;null;Шашлык;null;1
17;fish_set_three_sisters;Рыбный сет «Три Сестры»;1;1100;1;1100;SETS;false;null;Сеты;null;1
18;set_dimka;Сет «Дымка»;2100;850;2100;850;SETS;false;null;Сеты;null;1
19;set_for_company_of_thirty_people;Сет для компании 30 человек;6400;4500;6400;4500;SETS;false;null;Сеты;null;1
20;set_for_company_of_fifteen_people;Сет для компании 15 человек;3000;1900;3000;1900;SETS;false;null;Сеты;null;1
21;set_for_company_of_ten_people;Сет для компании 10 человек;2000;1450;2000;1450;SETS;false;null;Сеты;null;1
22;promotion_1;Акция 1;1;795;1;795;SETS;false;null;Сеты;null;1
23;promotion_2;Акция 2;1;895;1;795;SETS;false;null;Сеты;null;1
24;lula_kebab_potato;Люля-Кебаб картофельный;200;70;200;70;LYULYAKEBAB;false;null;Люля-кебаб;null;1
25;lula_kebab_chicken;Люля-Кебаб из курицы;200;90;200;90;LYULYAKEBAB;false;null;Люля-кебаб;null;1
26;lula_kebab_veal;Люля-Кебаб из телятины;200;95;200;95;LYULYAKEBAB;false;null;Люля-кебаб;null;1
27;lula_kebab_lamb;Люля-Кебаб из баранины;200;95;200;95;LYULYAKEBAB;false;null;Люля-кебаб;null;1
28;dorado;Дорадо;1;300;1;300;GRILLED_FISH;false;null;Рыба на мангале;null;1
29;seabass;Сибас;1;300;1;300;GRILLED_FISH;false;null;Рыба на мангале;null;1
30;fried_mackerel;Скумбрия жареная;1;125;1;125;GRILLED_FISH;false;null;Рыба на мангале;null;1
31;salmon_steak;Стейк из семги;100;125;100;125;GRILLED_FISH;false;null;Рыба на мангале;null;1
32;trout_steak;Форель стейк;100;135;100;135;GRILLED_FISH;false;null;Рыба на мангале;null;1
33;grilled_shrimp;Креветки гриль;100;120;100;120;GRILLED_FISH;false;null;Рыба на мангале;null;1
34;potatoes_with_bacon;Картошка с салом;100;60;100;60;GRILLED_VEGETABLES;false;null;Овощи на мангале;null;1
35;vegetable_set;Сет овощной;1500;500;1500;500;GRILLED_VEGETABLES;false;null;Овощи на мангале;null;1
36;grilled_eggplants;Баклажаны на мангале;100;35;100;35;GRILLED_VEGETABLES;false;null;Овощи на мангале;null;1
37;pepper_the_grill;Перец на мангале;100;35;100;35;GRILLED_VEGETABLES;false;null;Овощи на мангале;null;1
38;zucchini_the_grill;Кабачки на мангале;100;35;100;35;GRILLED_VEGETABLES;false;null;Овощи на мангале;null;1
39;grilled_tomatoes;Помидоры на мангале;100;35;100;35;GRILLED_VEGETABLES;false;null;Овощи на мангале;null;1
40;baked_eggplant_tomato_pepper;Запеченные Баклажак/ Помидор/ Перец;100;35;100;35;GRILLED_VEGETABLES;false;null;Овощи на мангале;null;1
41;mushrooms_the_grill;Грибы на мангале;100;30;100;30;GRILLED_VEGETABLES;false;null;Овощи на мангале;null;1
42;grilled_potatoes;Картофель на мангале;100;25;100;25;GRILLED_VEGETABLES;false;null;Овощи на мангале;null;1
