_id;poster;name;weight;price;min_weight_for_order;final_price;dishes;hit;description;dishes_name;sentences;quantity
1;set_dimka;Сет «Дымка»;2100;850;2100;850;STOCK;false;Сочное мясо и овощи со вкусом дымки принесёт вам нереальное наслаждение! Заказывайте мясной сет с доставкой по Киеву и мы мгновенно приготовим нежное мясо на дровах фруктовых деревьев! В состав сета входит: Ребра свинные 200грн, свиной подчеревок копченый 200гр, колбаска краковская копченая 200гр, карбонад 200гр, овощи гриль: помидор, перец, кабачок 300гр, картофель 500гр, грибы 200гр.;Акции;2,48,60;1
2;promotion_1;Акция 1+1 (свинина + курица + лаваш + соус);1;795;1;795;STOCK;true;2 килограмма шашлыка (1 кг курицы + 1кг свинины), такого нежного внутри и хрустящего снаружи, при заказе бесплатно комплектуем лаваш и соус. Даем одноразовую посуду и салфетки (по необходимости). Жарим на дровах фруктовых пород, минимум специй, чтобы почувствовать вкус самого мяса! Быстрая доставка по Киеву и пригороду (хоть в офис, хоть на природу).;Акции;35,48,55,67;1
3;promotion_2;Акция 1+1 (2 кг свинины + лаваш + соус);1;895;1;895;STOCK;false;Целых 2 килограмма свиного шашлыка для компании. В составе только свиной ошеек, лук, соль, перец, секретный ингредиент. Правильная обжарка, которая сохраняет сочность внутри и хрустящую ароматную корочку. При заказе акционного шашлыка дарим лаваш и соус + одноразовая посуда и салфетки (по необходимости). Быстрая доставка по Киеву.;Акции;35,48,55,34;1
4;pork_shashlik;Шашлык из свинины;100;60;100;60;KEBAB;true;Сочный свиной ошеек выдержан в нашем фирменном маринаде и приготовлен на мангале. Шашлык получается очень нежным, вкусным и с настоящим дымком. Подается с луком и зеленью.;Шашлык;53,67,55;1
5;lamb_shashlik;Шашлык из баранины;100;95;100;95;KEBAB;true;Для шашлыка мы используем каре - самую нежную часть молодого барана. Мясо обрабатывается только солью, что сохраняет неповторимый вкус баранины. Подается с луком и зеленью. ;Шашлык;52,57,42;1
6;care_of_veal;Каре телятины;100;90;100;95;KEBAB;false;Нежнейшее каре телятины выдержанное в фирменном маринаде и приготовленное на мангале. Такой шашлык просто тает во рту и приведет вас в настоящий восторг. Подается с луком и зеленью.;Шашлык;47,52,60;1
7;bavarian_sausages;Баварские колбаски;100;25;200;50;KEBAB;false;Наши баварские колбаски покоряют сердца: свинные кишки начиненные свинным фаршем с кавказскими специями и обжаренные на фруктовых углях - залог успеха вкусных колбасок. Они получаются очень сочными, ароматными и сытными. Идеально подойдут для отдыха на природе, обеда в офисе и домашнего ужина.;Шашлык;58,40,59;1
8;veal_shashlik;Шашлык из телятины;100;85;100;85;KEBAB;false;Нежный биток телятины выдержан в нашем фирменном маринаде. Мы готовим шашлык на углях, очень нежно и медленно обдаем его жаром. За счет этого он получается мягким и сочным. Подается с луком и зеленью. ;Шашлык;45,61,40;1
9;chicken_kebab;Шашлык куриный;100;50;100;50;KEBAB;false;Куриное филе выдержанное в особом шашлычном маринаде и приготовленное на мангале. Шашлык из курицы получается невероятно нежным и ароматным. Подается с луком и зеленью. ;Шашлык;34,63,52,58;1
10;chalagach;Чалагач;100;55;100;55;KEBAB;false;Корейка на кости выдержанная в фирменном маринаде и приготовленная на мангале. Чалагач в нашем исполнении получается очень нежным и сочным. Подается с луком и зеленью. ;Шашлык;40,55,59,42;1
11;teriyaki_wings;Крылья Терияки;250;95;250;95;KEBAB;false;Куриные крылья выдержанные в специальном маринаде и приготовленные на углях. Подаются с соусом терияки и кунжутом. Идеальны в качестве закуски под кино или посиделок с друзьями. ;Шашлык;42,57,36,37;1
12;chicken_tobacco;Цыплёнок Табака;1;300;1;300;KEBAB;false;Ципленок Табака по нашему рецепту получается таким, что пальчики оближешь. Мы готовим блюдо исключительно из свежего ципленка, маринуем его в специях и готовим на мангале. В конце приготовления обильно смазываем сливочным масло, что делает вкус ципленка Табака просто невероятно нежным, сочным и ароматным. ;Шашлык;40,45,52,63;1
13;roasted_veal_liver;Печень Телячья жареная;100;50;100;50;KEBAB;false;"Печень телятины завернутая в жировую свинную сетку замаринованная в фирменных специях и приготовленная на мангале. Такой вид шашлыка может показаться необычным, но его стоит попробовать, и из разряда ""экперимент"" оно сразу же перейдет в ""открытие года"".";Шашлык;47,63,69;1
14;beef_tongue;Язык говяжий;100;80;100;80;KEBAB;false;Язык отварной говяжий с добавлением соли и перца обжаривается на мангале. В конце притовления смазывается сливочным масло, что делает его вкус очень нежным, сочным и ароматным. Сочетается со свежими овощами и гарнирами.;Шашлык;55,61,70;1
15;ribs_pork_teriyaki;Рёбра Свиные Терияки;250;110;250;110;KEBAB;false;Свинные ребра выдержаны в фирменном маринаде и приготовлены на мангале. Шашлык из ребер получается очень сочным внутри и с хрустящей корочкой снаружи. Подается с соусом терияки и кунжутом.;Шашлык;56,65,38,41;1
16;quail;Перепел;1;95;1;95;KEBAB;false;Один из лучших сортов мяса для шашлыка - это нежнейшее мясо перепела. Мы маринуем птицу только с соевым соусом и паприкой и готовим на фруктовых углях. При таком приготовлении появляется аппетитная золотистая корочка, которая позволяет мясу внутри сохранить свои соки и фактуру. ;Шашлык;40,45,52;1
17;fish_set_three_sisters;Рыбный сет «Три Сестры»;1;1100;1;1100;SETS;false;Дорадо 1 шт, сибас 1 шт, скумбрия 1шт, овощи на мангале: картофель 500гр, помидоры 200гр, перец 200гр, баклажаны 200гр, грибы 300гр + соус;Сеты;52,70,55;1
18;set_dimka;Сет «Дымка»;2100;850;2100;850;SETS;false;Сочное мясо и овощи со вкусом дымки принесёт вам нереальное наслаждение! Заказывайте мясной сет с доставкой по Киеву и мы мгновенно приготовим нежное мясо на дровах фруктовых деревьев! В состав сета входит: Ребра свинные 200грн, свиной подчеревок копченый 200гр, колбаска краковская копченая 200гр, карбонад 200гр, овощи гриль: помидор, перец, кабачок 300гр, картофель 500гр, грибы 200гр.;Сеты;2,48,60;1
