_id;poster;name;weight;price;min_weight_for_order;final_price;dishes;hit;description;dishes_name;sentences;quantity
1;set_dimka;Сет «Дымка»;2100;850;2100;850;STOCK;false;null;Акції;1,2,3;1
2;promotion_1;Акція 1 + 1 (свинина + курка + лаваш + соус);1;795;1;795;STOCK;true;null;Акції;4,5,6;1
3;promotion_2;Акція 1 + 1 (2 кг свинини + лаваш + соус);1;895;1;895;STOCK;false;null;Акції;null;1
4;pork_shashlik;Шашлик зі свинини;100;60;100;60;KEBAB;true;Соковитий свинной ошийок витриманий в нашому фірмовому маринаді і приготований на мангалі. Шашлик виходить дуже ніжним, смачним і до цього з димком. Подається з цибулею і зеленню. ;Шашлик;null;1
5;lamb_shashlik;Шашлик з баранини;100;95;100;95;KEBAB;true;Для шашлику ми використовуємо каре - саму ніжну частину молодого барана. М'ясо обробляється тільки сіллю, що зберігає неповторний смак баранини. Подається з цибулею і зеленню. ;Шашлик;null;1
6;care_of_veal;Каре телятини;100;90;100;95;KEBAB;false;Ніжне каре телятини витримане в фірмовому маринаді і приготоване на мангалі. Такий шашлик просто тане у роті і приведе вас в справжнє захоплення. Подається з цибулею і зеленню. ;Шашлик;null;1
7;bavarian_sausages;Баварські ковбаски;100;25;200;50;KEBAB;false;Наші баварські ковбаски підкорюють серця: свинні кишки начинені свинячим фаршем з кавказькими спеціями і обсмажені на фруктових вугіллях - запорука успіху смачних ковбасок. Вони виходять дуже соковитими, ароматними і ситними. Ідеально підійдуть для відпочинку на природі, обіду в офісі і для домашньої вечері. ;Шашлик;null;1
8;veal_shashlik;Шашлик з телятини;100;85;100;85;KEBAB;false;Ніжний биток телятини витриманий в нашому фірмовому маринаді. Ми готуємо шашлик на вугіллі, дуже ніжно і повільно обдаємо його жаром. За рахунок цього він виходить м'яким і соковитим. Подається з цибулею і зеленню. ;Шашлик;null;1
9;chicken_kebab;Шашлик курячий;100;50;100;50;KEBAB;false;Куряче філе витримане в особливому шашличному маринаді і приготоване на мангалі. Шашлик з курки виходить неймовірно ніжним і ароматним. Подається з цибулею і зеленню.;Шашлик;null;1
10;chalagach;Чалагач;100;55;100;55;KEBAB;false;Корейка на кістці витримана в фірмовому маринаді і приготована на мангалі. Чалагач в нашому виконанні виходить дуже ніжним і соковитим. Подається з цибулею і зеленню. ;Шашлик;null;1
11;teriyaki_wings;Крила Теріякі;250;95;250;95;KEBAB;false;Курячі крила витримані в спеціальному маринаді і приготовані на вугіллі. Подаються з соусом теріякі і кунжутом. Ідеальні в якості закуски під кіно або посиденьок з друзями. ;Шашлик;null;1
12;chicken_tobacco;Курча Табака;1;300;1;300;KEBAB;false;Курча Табака за нашим рецептом виходить таким, що пальчики оближеш. Ми готуємо страву виключно зі свіжого ципленка, маринуємо його в спеціях і готуємо на мангалі. В кінці приготування рясно змащуємо вершковим масло, що робить смак ципленка Табака просто неймовірно ніжним, соковитим і ароматним. ;Шашлик;null;1
13;roasted_veal_liver;Печінка Теляча смажена;100;50;100;50;KEBAB;false;"Печінка телятини загорнута в жирову свинячу сітку замаринована в фірмових спеціях і приготована на мангалі. Такий вид шашлику може здатися незвичайним, але його варто спробувати, і з розряду ""екперімент"" воно відразу ж перейде в ""відкриття року"". ";Шашлик;null;1
14;beef_tongue;Язик яловичий;100;80;100;80;KEBAB;false;Язик відварний яловичий з додаванням солі і перцю обсмажується на мангалі. В кінці прітовління змащується вершковим масло, що робить його смак дуже ніжним, соковитим і ароматним. Поєднується зі свіжими овочами та гарнірами. ;Шашлик;null;1
15;ribs_pork_teriyaki;Рёбра Свиные Терияки;250;110;250;110;KEBAB;false;Свинні ребра витримані у фірмовому маринаді і приготовлені на мангалі. Шашлик з ребер виходить дуже соковитим всередині і з хрусткою скоринкою зовні. Подається з соусом теріякі і кунжутом. ;Шашлик;null;1
16;quail;Перепілка;1;95;1;95;KEBAB;false;Один з кращих сортів м'яса для шашлику - це ніжне м'ясо перепели. Ми маринуємо птицю тільки з соєвим соусом і паприкою і готуємо на фруктових вугіллях. При такому приготуванні з'являється апетитна золота скоринка, яка дозволяє м'ясу всередині зберегти свої соки і фактуру. ;Шашлик;null;1
17;fish_set_three_sisters;Рибний сет «Три Сестри»;1;1100;1;1100;SETS;false;null;Сети;null;1
18;set_dimka;Сет «Дымка»;2100;850;2100;850;SETS;false;null;Сети;null;1
19;set_for_company_of_thirty_people;Сет для компанії 30 осіб;6400;4500;6400;4500;SETS;false;null;Сети;null;1
20;set_for_company_of_fifteen_people;Сет для компанії 15 осіб;3000;1900;3000;1900;SETS;false;null;Сети;null;1
21;set_for_company_of_ten_people;Сет для компанії 10 чоловік;2000;1450;2000;1450;SETS;false;null;Сети;null;1
22;promotion_1;Акція 1 + 1 (свинина + курка + лаваш + соус);1;795;1;795;SETS;false;null;Сети;null;1
23;promotion_2;Акція 1 + 1 (2 кг свинини + лаваш + соус);1;895;1;795;SETS;false;null;Сети;null;1
24;lula_kebab_potato;Люля-Кебаб картопляний;200;70;200;70;LYULYAKEBAB;false;Пісний люля-кебаб з картоплі прекрасна альтернатива класичним м'ясному люля-кебаб. Блюдо виходить соковитим і ніжним, поєднується з салатами і м'ясом. ;Люля-кебаб;null;1
25;lula_kebab_chicken;Люля-Кебаб курячий;200;90;200;90;LYULYAKEBAB;true;Неймовірно ніжний курячий люля-кебаб з ароматними кавкаскімі спеціями, додаванням свинячого сала і цибулі. Приготований на мангалі, подається з вірменським лавашем. ;Люля-кебаб;null;1
26;lula_kebab_veal;Люля-Кебаб з телятини;200;95;200;95;LYULYAKEBAB;true;Класичний люля-кебаб з телятини приготований з рубаного м'яса, цибулі і ароматних кавказьких спецій. Соковитість, смак і ніжність м'ясної ковбаски не залишать вас байдужим. Подається з вірменським лавашем. ;Люля-кебаб;null;1
27;lula_kebab_lamb;Люля-Кебаб з баранини;200;95;200;95;LYULYAKEBAB;false;Люля-кебаб з традиційної для Кавказу баранини. Приготований з подрібненою м'якотю баранини, цибулі, ароматних спецій і обсмажений на мангалі. Подається з вірменським лавашем. ;Люля-кебаб;null;1
28;dorado;Дорадо;1;300;1;300;GRILLED_FISH;false;Свіжа дорадо витримана в фірмовому маринаді і обсмажена на мангалі. У процесі приготування на рибі утворюється хрустка скоринка, яка допомагає зберегти м'ясо всередині соковитим і ніжним. Подається з лимоном і свіжим кропом. ;Риба на мангалі;null;1
29;seabass;Сібас;1;300;1;300;GRILLED_FISH;false;Свіжий сібас витриманий у фірмовому маринаді і приготований на мангалі. Соковита рибка з хрусткою скоринкою точно не залишить вас байдужим! Подається з лимоном і свіжим кропом. ;Риба на мангалі;null;1
30;fried_mackerel;Скумбрія смажена;1;125;1;125;GRILLED_FISH;true;Таку скумбрію ви ще не пробували! Свіжа риба витримана в фірмовому маринаді і обсмажена на фруктових вугіллях. Ви будете в захваті від смаку, соковитості та аромату нашої рибки. Подається з лимоном і свіжим кропом. ;Риба на мангалі;null;1
31;salmon_steak;Стейк з сьомги;100;125;100;125;GRILLED_FISH;false;Свіжий стейк сьомги витриманий у фірмовому маринаді і приготований на мангалі. Ми дуже ніжно обсмажуємо рибу, щоб вона зберегла максимальну кількість корисних речовин і залишалася соковитою. Подається з лимоном і свіжим кропом. ;Риба на мангалі;null;1
32;trout_steak;Форель стейк;100;135;100;135;GRILLED_FISH;false;Стейк свіжої форелі витриманий у фірмовому маринаді і обсмажений на мангалі. Риба дуже ніжно обсмажується на вугіллі, завдяки чому зберігає максимальну кількість корисних речовин і соковитість. Подається з лимоном і свіжим кропом. ;Риба на мангалі;null;1
