street
14-й км Шляха
15-й км Житомирского
16-й км Нижинского
19-й км Житомирского
1-го Мая ул.
1-го Мая ул.-Бортничи
21-й км Киев-Днепровс.ПЗЗ
23-й км Харьковского
8-го Марта ул.
Авдеенко Генерала ул.
Автозаводская ул.
Автопарковая ул.
Автотранспортная ул.-Бортничи
Агитаторская ул.
Агрегатная ул.
Азовская ул.
Айвазовского пер.
Аистовая ул.
Академическая ул.
Александровская ул.
Алексеевская ул.
Алексухина Василия ул.
Алма-Атинская ул.
Амосова Николая
Амурская ул.
Андреевская ул.
Андрющенко Григория ул.
Анищенко ул.
Антонова Авиаконструктора ул.
Антонова-Овсеенко ул.
Апрельский пер.
Арефьева Костянтина ул.
Армейская ул.
Армянская ул.
Армянский пер.
Арсенальная площадь
Арсенальная ул.
Арсенальный пер.
Артезианский пер.
Артема ул.
Артиллерийский пер.
Архитекторская ул.
Аскольдов пер.
Астраханская ул.
Астраханский пер.
Астрономическая ул.
Ахматовой Анны ул.
Ахтырская ул.
Аэровокзальная ул.(Ернста Ф)
Аэродромная ул.
Аэропорт Жуляны
Бабушкина пер.
Бабушкина ул.
Багговутовская ул.
Бажова ул.
Байкальская ул.
Байкова ул.
Бакинская ул.
Бакинский пер.
Бакинских Комиссаров пер.
Бакинских Комиссаров ул.
Бакунина ул.
Балакирева пер.
Балакирева ул.
Балаклеевская ул.
Балтийский пер.
Бальзака Оноре ул.
Банковая ул.
Барбюса Анри ул.
Баренбойма ул.
Баррикадная ул.
Бассейная ул.
Бастионная ул.
Бастионный пер.
Батумская ул.
Батуринская ул.
Батуринский пер. Позняки
Баумана пер.
Баумана ул.
Бахмачская ул.
Белгородская ул.
Белецкого Академика ул.
Белинского пер.
Белинского ул.
Белицкая ул.
Белицкий пер.
Беличанская ул.
Белокур Екатерины ул.
Белорусская ул.
Бердичевская ул.
Бердянская ул.
Бердянский пер.
Береговая ул.
Бережанская ул.
Березневая ул.
Березневая ул.-Бортничи
Березневый пер.-Бортничи
Березняковская ул.
Беретти Викентия ул.
Берковец хутор
Берковец хутор лесничество
Берковец хутор совхоз
Берковецкая ул.
Берлинского Максима ул.
Бестужева Ал-ра пер.
Бестужева Ал-ра ул.
Бетховена ул.
Бехтеревский пер.
Бигова ул.
Бирюзова Маршала ул.
Бишивская ул.
Бишивский пер.
Блакитного ул.
Блока Александра ул.
Блюхера Василия ул.
Бобринецкая ул.
Бобринецкий пер.
Бобруйский пер.
Богатырская ул.
Богдановская ул.
Богдановский пер.
Богомольца Академика ул.
Богунская ул.
Богунский пер.
Богуславский спуск
Богушевский пер.
Боевая ул.
Боженко ул.
Боженко ул.-Новоселки
Боженко ул.-Троещина
Божков Яр ул.
Бойко Ивана ул.-Позняки
Бойченко Александра ул.
Больничная ул.
Больничный пер.
Большая Житомирская ул.
Большая Китаевская ул.
Большевитская ул.
Бондарская ул.
Бондарский пер.
Бонч-Бруевича пер.
Бонч-Бруевича ул.
Бориславская ул.
Борисоглебская ул.
Бориспольская ул.
Боричев спуск
Боричев Ток ул.
Боровая ул.
Боровая ул.(Дубравная)
Боровая ул.-Бортничи
Боровиковского ул.
Боровиченко Марии ул.
Боровой (Дубравный) пер.
Боровой пер.
Боровой пер.-Бортничи
Бортницкая ул.
Бортницкая ул.-Бортничи
Бортницкий пер.
Бортницкий пер. 1-Бортничи
Бортницкий пер. 2-Бортничи
Бортничи ПЗЗ
Борщаговка ПЗЗ 11-й
Борщаговская ул.
Боткина ул.
Братиславская ул.
Братская ул.
Брацлавская ул.
Брест-Литовский пер.
Брест-Литовское шоссе
Брестская ул.
Броварский пер.
Броварский проспект
Бродовская ул.
Бродовский пер.
Броуна ул.
Брусиловская ул.
Брюллова ул.
Брюсова ул.
Бубнова Андрея ул.
Бугорная ул.
Бугорный пер.
Бударина ул.
Буденного 1 пер.-Бортничи
Буденного 2 пер.-Бортничи
Буденного 3 пер.-Бортничи
Буденного ул.-Бортничи
Будищанская ул.
Буйко Профессора ул.
Букиной Раисы пер.
Букиной Раисы ул.
Буковинская ул.
Булаховского Академика ул.
Булгакова ул.
Бурденко Академика пер.
Бурмистенко пер.
Бурмистенко ул.
Бусловская ул.
Бутлерова Акад. ул.
Бучанская ул.
Бучмы Амвросия бульвар
Быкова Леонида бульвар
Быковнянский пер.
Быковский пер.
Вавиловых ул.
Вагон.Депо Ст.Дарница
Вакуленчука пер.
Вакуленчука ул.
Валковская ул.
Василевской Ванды ул.
Василенко Николая ул.
Васильевская ул.
Васильковская ул.
Васильковская ул.-Новоселки
Васильковский пер.
Васильченко ул.
Васнецова ул.
Ватутина ул.-Жуляны
Введенская ул./Ратманского
Вербицкого Архитектора ул.
Вербовая ул.
Верболозная ул.
Верболозный пер.
Вересневая ул.(Сентябрьская)
Верещагина ул.
Верхнегорская ул.
Верхний Вал ул.
Верхняя ул.
Верховинная ул.
Верховинца Василия ул.
Вершигоры Петра ул.
Веселковый пер.
Весенняя ул.
Ветвистый пер.
Ветрова ул.
Ветряные Горы ул.
Вешенский пер.
Вигуровский бульвар
Вильде Эдуарда ул.
Вильнюсская ул.
Вильямса ул.
Винницкая ул.
Виноградный пер.
Вискозная ул.
Витавская ул.
Витрука Генерала ул.
Витянская ул.
Вишни Остапа ул.
Вишняковская ул.
Владимиро-Лыбедская ул.
Владимирская ул.
Внешняя ул.-Позняки
Водников Остров
Водников ул.
Водогонная ул.
Воздвиженская ул.
Воздухофлотская ул.-Жуляны
Войсковая ул.
Войсковой проезд
Вокзальная площадь
Вокзальная ул.
Волгоградская ул.
Волго-Донская ул.
Волго-Донской пер.
Волжская ул.
Волжский пер.
Волкова Космонавта ул.
Волосская ул.
Волочаевская ул.
Волховская ул.
Волховский пер.
Волынская ул.
Вольный хутор
Воровского ул.
Воровского ул.-Бортничи
Воскресенская ул.
Воскресенское шоссе
Вузовская ул.
Выборгская ул.
Выборгский пер.
Выдубицкая ул.
Вышгородская ул.
Гаврилюка ул.
Гавро Лайоша ул.
Гагарина ул.
Газовая ул.
Газопроводная ул.
Гайдай Зои ул.
Гайдара ул.
Гайева ул.
Гайсинская ул.
Гайцана Николая ул.
Галана Ярослава ул.
Галицкая ул.
Гамарника ул.
Гарина Бориса ул.
Гарматная ул.
Гаршина ул.
Гастелло ул.
Гатная ул.
Гашека Ярослава ул.
Гвардейская ул.
Георгиевский пер.
Геофизиков пер.
Герасименко Кости ул.
Героев Войны ул.-Жуляны
Героев Днепра ул.
Героев Космоса ул.
Героев Обороны ул.
Героев Севастополя ул.
Герцена ул.
Глазунова ул.
Глебова ул.
Глинки ул.
Глубочицкая ул.
Глуховская ул.
Глушкова Академика проспект
Гмыри Бориса ул.
Говорова Маршала ул.
Гоголевская ул.
Гоголя ул.-Бортничи
Гоголя ул.-Жуляны
Гоголя ул.-Троещина
Головко Андрея ул.
Голосеевская ул.
Голосеевский пер.
Гомельская ул.
Гомельский пер.
Гонты ул.
Гончара Олеся ул.
Гончарова ул.
Горбачова Емельяна ул.
Горбунова Академика ул.
Горвица Ал-ра ул.
Горенская ул.
